FrameNumber,BrightArea,Intensity
889,9.5,3.1666666666666665
890,9.5,3.1666666666666665
891,9.5,3.1666666666666665
892,9.0,3.0
893,9.0,3.0
894,9.0,3.0
895,9.0,3.0
896,9.0,3.0
897,9.0,3.0
898,9.0,3.0
899,9.0,3.0
900,9.0,3.0
901,9.0,3.0
902,9.0,3.0
903,9.0,3.0
904,9.0,3.0
905,9.0,3.0
906,9.0,3.0
907,9.0,3.0
908,9.0,3.0
909,9.0,3.0
910,9.0,3.0
911,9.0,3.0
912,9.0,3.0
913,9.0,3.0
914,9.0,3.0
915,9.0,3.0
916,9.0,3.0
917,9.0,3.0
918,9.0,3.0
919,9.0,3.0
920,9.0,3.0
921,6.0,3.0
922,6.0,3.0
923,10.5,3.5
924,6.0,3.0
925,9.5,9.5
926,11.0,11.0
927,12.5,3.125
928,9.0,4.5
929,9.0,4.5
930,8.5,4.25
931,8.0,4.0
932,8.0,8.0
933,12.5,12.5
934,12.0,6.0
935,12.5,4.166666666666667
936,10.0,5.0
937,10.5,3.5
938,15.5,7.75
939,16.0,16.0
940,15.5,15.5
941,17.0,8.5
942,17.0,17.0
943,16.0,16.0
944,6.5,6.5
945,7.0,1.75
946,17.5,4.375
947,8.5,1.7
948,5.0,2.5
949,7.0,3.5
950,8.0,2.6666666666666665
951,6.0,1.0
952,8.5,2.8333333333333335
953,13.0,6.5
954,9.5,3.1666666666666665
955,10.0,3.3333333333333335
956,8.5,4.25
957,12.0,6.0
958,13.0,6.5
959,11.0,3.6666666666666665
960,19.0,9.5
961,15.0,15.0
962,20.0,10.0
963,16.5,5.5
964,16.0,8.0
965,13.5,4.5
966,12.0,3.0
967,13.0,4.333333333333333
968,17.0,17.0
969,12.5,4.166666666666667
970,14.0,7.0
971,14.0,7.0
972,15.0,5.0
973,16.5,8.25
974,16.0,16.0
975,13.0,6.5
976,10.0,10.0
977,12.5,6.25
978,7.5,7.5
979,8.0,2.6666666666666665
980,6.5,1.625
981,7.5,1.875
982,11.5,5.75
983,12.5,4.166666666666667
984,11.0,11.0
985,9.5,9.5
986,10.5,10.5
987,6.5,2.1666666666666665
988,7.5,3.75
989,12.5,12.5
990,10.5,3.5
991,10.0,5.0
992,8.0,8.0
993,10.0,10.0
994,9.5,4.75
995,8.0,4.0
996,9.5,4.75
997,14.5,7.25
998,10.5,3.5
999,9.5,3.1666666666666665
1000,9.0,9.0
1001,16.5,8.25
1002,15.5,5.166666666666667
1003,7.5,1.875
1004,8.5,2.125
1005,6.5,6.5
1006,5.5,0.9166666666666666
1007,6.5,3.25
1008,3.0,0.75
1009,4.5,1.5
1010,6.5,3.25
1011,6.0,2.0
1012,8.0,8.0
1013,10.0,5.0
1014,7.0,2.3333333333333335
1015,8.5,4.25
1016,8.0,2.6666666666666665
1017,13.0,6.5
1018,9.5,4.75
1019,9.5,4.75
1020,16.0,16.0
1021,17.0,8.5
1022,18.5,18.5
1023,14.0,14.0
1024,9.0,9.0
1025,12.0,12.0
1026,17.0,17.0
1027,10.0,5.0
1028,10.0,5.0
1029,9.0,4.5
1030,9.0,2.25
1031,7.5,3.75
1032,9.5,4.75
1033,9.0,3.0
1034,8.0,2.6666666666666665
1035,12.5,12.5
1036,12.5,12.5
1037,9.5,9.5
1038,12.5,6.25
1039,2.5,0.8333333333333334
1040,4.5,2.25
1041,7.5,7.5
1042,10.0,2.5
1043,5.0,5.0
1044,3.5,0.875
1045,3.0,0.75
1046,4.5,2.25
1047,7.0,1.75
1048,4.5,1.5
1049,5.0,1.25
1050,5.0,1.6666666666666667
1051,5.0,5.0
1052,10.0,10.0
1053,5.0,2.5
1054,8.0,4.0
1055,8.0,4.0
1056,5.0,1.6666666666666667
1057,4.0,1.3333333333333333
1058,5.5,2.75
1059,12.5,6.25
1060,10.0,5.0
1061,6.0,2.0
1062,7.0,3.5
1063,8.5,4.25
1064,7.5,2.5
1065,8.5,2.8333333333333335
1066,6.5,2.1666666666666665
1067,7.0,3.5
1068,8.5,4.25
1069,8.5,8.5
1070,11.0,5.5
